Antibody,Threshold,OASis Percentile,OASis Identity,Heavy V Germline,Heavy J Germline,Heavy OASis Percentile,Heavy OASis Identity,Heavy Non-human peptides,Light V Germline,Light J Germline,Light OASis Percentile,Light OASis Identity,Light Non-human peptides
10090_seq2,relaxed,1,1,,,,,,IGKV3-11*01,IGKJ2*01,1,1,0
10096_seq1,relaxed,0.150486486486486,0.675675675675676,IGHV3-48*01,IGHJ4*01,0.239027027027027,0.675675675675676,36,,,,,
10096_seq2,relaxed,0.472530612244898,0.775510204081633,,,,,,IGKV1-33*01,IGKJ1*01,0.367877551020408,0.775510204081633,22
10097_seq1,relaxed,0.415181818181818,0.757575757575758,,,,,,IGKV1-13*02,IGKJ4*01,0.323757575757575,0.757575757575758,24
10097_seq2,relaxed,0.134858407079646,0.663716814159292,IGHV7-4-1*02,IGHJ2*01,0.201893805309734,0.663716814159292,38,,,,,
10103_seq1,relaxed,0.166558558558559,0.684684684684685,IGHV1-2*02,IGHJ4*01,0.266990990990991,0.684684684684685,35,,,,,
10103_seq2,relaxed,0.16,0.68,,,,,,IGKV1-39*01,IGKJ2*01,0.147,0.68,32
10106_seq1,relaxed,0.866545454545455,0.945454545454545,IGHV4-31*02,IGHJ4*01,0.939727272727273,0.945454545454545,6,,,,,
10106_seq2,relaxed,1,1,,,,,,IGKV3-20*01,IGKJ5*01,1,1,0
10113_seq1,relaxed,0.415181818181818,0.757575757575758,,,,,,IGKV1-39*01,IGKJ4*01,0.323757575757575,0.757575757575758,24
10113_seq2,relaxed,0.453923076923077,0.769230769230769,IGHV1-18*01,IGHJ6*01,0.480769230769231,0.769230769230769,27,,,,,
10114_seq1,relaxed,1,1,,,,,,IGKV1-13*02,IGKJ1*01,1,1,0
10114_seq2,relaxed,0.604840707964602,0.84070796460177,IGHV4-39*01,IGHJ5*02,0.673265486725664,0.84070796460177,18,,,,,
10115_seq1,relaxed,0.283727272727273,0.727272727272727,,,,,,IGKV1-NL1*01,IGKJ4*01,0.233090909090909,0.727272727272727,27
10115_seq2,relaxed,0.295521739130435,0.730434782608696,IGHV3-23*04,IGHJ4*01,0.391173913043478,0.730434782608696,31,,,,,
10115_seq3,relaxed,0.0547837837837837,0.522522522522523,IGHV1/OR15-1*04,IGHJ2*01,0.082,0.522522522522523,53,,,,,
10121_seq1,relaxed,0.413504854368932,0.757281553398058,,,,,,IGKV3-11*01,IGKJ4*01,0.322757281553398,0.757281553398058,25
10121_seq2,relaxed,0.256754385964912,0.719298245614035,IGHV1-46*01,IGHJ4*01,0.36419298245614,0.719298245614035,32,,,,,
10123_seq1,relaxed,0.868756756756757,0.945945945945946,IGHV4-31*02,IGHJ4*01,0.941054054054054,0.945945945945946,6,,,,,
10123_seq2,relaxed,0.887,0.95,,,,,,IGKV3-15*01,IGKJ1*01,0.751,0.95,5
10124_seq1,relaxed,0.654538461538462,0.865384615384615,,,,,,IGKV2-30*01,IGKJ2*01,0.609153846153846,0.865384615384615,14
10124_seq2,relaxed,0.579238532110092,0.825688073394495,IGHV3-15*07,IGHJ4*01,0.62708256880734,0.825688073394495,19,,,,,
10128_seq1,relaxed,0.133357142857143,0.660714285714286,IGHV1-69*02,IGHJ4*01,0.192285714285714,0.660714285714286,38,,,,,
10128_seq2,relaxed,0.187242424242424,0.696969696969697,,,,,,IGKV1-27*01,IGKJ2*01,0.182242424242424,0.696969696969697,30
10129_seq1,relaxed,0.74364705882353,0.901960784313726,,,,,,IGLV1-40*01,IGLJ3*02,0.674137254901961,0.901960784313726,10
10129_seq2,relaxed,0.613495412844037,0.844036697247706,IGHV3-23*03,IGHJ5*01,0.683917431192661,0.844036697247706,17,,,,,
10130_seq1,relaxed,0.479333333333334,0.777777777777778,IGHV1-46*01,IGHJ4*01,0.498555555555556,0.777777777777778,24,,,,,
10130_seq2,relaxed,0.472530612244898,0.775510204081633,,,,,,IGKV1-5*01,IGKJ1*01,0.367877551020408,0.775510204081633,22
10137_seq1,relaxed,0.002,0.304761904761905,IGHV1-2*02,IGHJ4*01,0.00542857142857144,0.304761904761905,73,,,,,
10137_seq2,relaxed,0.487809523809524,0.780952380952381,,,,,,IGKV2D-29*02,IGKJ2*01,0.383904761904762,0.780952380952381,23
10141_seq1,relaxed,0.663454545454546,0.868686868686869,,,,,,IGKV3-15*01,IGKJ1*01,0.619060606060606,0.868686868686869,13
10141_seq2,relaxed,0.565727272727273,0.818181818181818,IGHV1-18*01,IGHJ4*01,0.608727272727273,0.818181818181818,20,,,,,
10142_seq1,relaxed,0.663454545454546,0.868686868686869,,,,,,IGKV3-15*01,IGKJ1*01,0.619060606060606,0.868686868686869,13
10142_seq2,relaxed,0.565727272727273,0.818181818181818,IGHV1-18*01,IGHJ4*01,0.608727272727273,0.818181818181818,20,,,,,
10144_seq1,relaxed,0.567137931034483,0.818965517241379,IGHV3-30*01,IGHJ3*02,0.611,0.818965517241379,21,,,,,
10144_seq2,relaxed,0.600414141414141,0.838383838383838,,,,,,IGKV1-5*01,IGKJ2*01,0.555313131313131,0.838383838383838,16
10148_seq1,relaxed,0.771454545454545,0.909090909090909,IGHV3-23*01,IGHJ4*01,0.845545454545455,0.909090909090909,10,,,,,
10148_seq2,relaxed,1,1,,,,,,IGKV1D-16*01,IGKJ2*01,1,1,0
10149_seq1,relaxed,0.771454545454545,0.909090909090909,,,,,,IGKV1D-16*01,IGKJ2*01,0.685545454545455,0.909090909090909,9
10149_seq2,relaxed,0.507090909090909,0.790909090909091,IGHV1-2*02,IGHJ5*01,0.529909090909091,0.790909090909091,23,,,,,
10165_seq1,relaxed,0.561421052631579,0.81578947368421,IGHV3-48*02,IGHJ4*01,0.601789473684211,0.81578947368421,21,,,,,
10165_seq2,relaxed,0.523353535353536,0.797979797979798,,,,,,IGKV1-9*01,IGKJ2*01,0.442545454545455,0.797979797979798,20
10172_seq1,relaxed,1,1,,,,,,IGLV3-21*02,IGLJ2*01,1,1,0
10172_seq2,relaxed,0.777052631578947,0.912280701754386,IGHV3-33*01,IGHJ3*02,0.854842105263158,0.912280701754386,10,,,,,
10174_seq1,relaxed,0.792615384615385,0.923076923076923,,,,,,IGKV4-1*01,IGKJ2*01,0.705769230769231,0.923076923076923,8
10174_seq2,relaxed,0.335271186440678,0.73728813559322,IGHV7-4-1*02,IGHJ6*01,0.409677966101695,0.73728813559322,31,,,,,
10175_seq1,relaxed,0.722,0.89,,,,,,IGKV3-20*01,IGKJ3*01,0.661,0.89,11
10175_seq2,relaxed,0.811508771929825,0.929824561403509,IGHV4-39*01,IGHJ5*02,0.904526315789474,0.929824561403509,8,,,,,
10176_seq1,relaxed,0.004,0.409090909090909,IGHV1-2*06,IGHJ3*01,0.0356363636363636,0.409090909090909,65,,,,,
10176_seq2,relaxed,0.0708446601941747,0.543689320388349,,,,,,IGKV7-3*01,IGKJ2*01,0.0463203883495145,0.543689320388349,47
10178_seq1,relaxed,0.57995652173913,0.826086956521739,IGHV3-9*01,IGHJ2*01,0.628,0.826086956521739,20,,,,,
10178_seq2,relaxed,1,1,,,,,,IGKV3-11*01,IGKJ4*01,1,1,0
10186_seq1,relaxed,0.771454545454545,0.909090909090909,IGHV3-23*01,IGHJ4*01,0.845545454545455,0.909090909090909,10,,,,,
10186_seq2,relaxed,1,1,,,,,,IGKV1D-16*01,IGKJ2*01,1,1,0
10187_seq1,relaxed,0.004,0.409090909090909,IGHV1-2*06,IGHJ3*01,0.0356363636363636,0.409090909090909,65,,,,,
10187_seq2,relaxed,0.0708446601941747,0.543689320388349,,,,,,IGKV7-3*01,IGKJ2*01,0.0463203883495145,0.543689320388349,47
10188_seq1,relaxed,0.896523809523809,0.952380952380952,IGHV3-23*04,IGHJ4*01,0.958666666666666,0.952380952380952,5,,,,,
10188_seq2,relaxed,0.569,0.82,,,,,,IGKV3-20*01,IGKJ4*01,0.497,0.82,18
10194_seq1,relaxed,0.004,0.39047619047619,IGHV1-2*02,IGHJ3*01,0.0253333333333334,0.39047619047619,64,,,,,
10194_seq2,relaxed,0.271952380952381,0.723809523809524,,,,,,IGKV4-1*01,IGKJ4*01,0.226857142857143,0.723809523809524,29
10195_seq1,relaxed,0.0921238938053097,0.610619469026549,IGHV3-71*01,IGHJ4*01,0.114176991150442,0.610619469026549,44,,,,,
10195_seq2,relaxed,0.118818181818182,0.646464646464646,,,,,,IGKV1-39*01,IGKJ2*01,0.110111111111111,0.646464646464646,35
10196_seq1,relaxed,0.724333333333333,0.891666666666667,IGHV3-7*01,IGHJ6*01,0.796833333333333,0.891666666666667,13,,,,,
10196_seq2,relaxed,0.94930303030303,0.96969696969697,,,,,,IGKV1-17*01,IGKJ3*01,0.777575757575758,0.96969696969697,3
10197_seq1,relaxed,0.567137931034483,0.818965517241379,IGHV3-30*01,IGHJ3*02,0.611,0.818965517241379,21,,,,,
10197_seq2,relaxed,0.600414141414141,0.838383838383838,,,,,,IGKV1-5*01,IGKJ2*01,0.555313131313131,0.838383838383838,16
10198_seq1,relaxed,0.681,0.875,,,,,,IGKV2-30*02,IGKJ4*01,0.631,0.875,13
10198_seq2,relaxed,0.584891891891892,0.828828828828829,IGHV3-72*01,IGHJ4*01,0.634306306306306,0.828828828828829,19,,,,,
10213_seq1,relaxed,0.544880733944954,0.807339449541284,IGHV3-48*03,IGHJ4*01,0.580743119266055,0.807339449541284,21,,,,,
10213_seq2,relaxed,0.0985,0.625,,,,,,IGKV1-17*01,IGKJ2*01,0.0925,0.625,39
10220_seq1,relaxed,0.222708737864077,0.70873786407767,,,,,,IGKV4-1*01,IGKJ1*01,0.203728155339806,0.70873786407767,30
10220_seq2,relaxed,0.143646017699115,0.672566371681416,IGHV1-46*01,IGHJ4*01,0.229699115044248,0.672566371681416,37,,,,,
10220_seq3,relaxed,0.36727027027027,0.747747747747748,IGHV1-18*01,IGHJ4*01,0.438693693693694,0.747747747747748,28,,,,,
10224_seq1,relaxed,0.659592920353982,0.867256637168142,IGHV3-7*01,IGHJ1*01,0.748141592920354,0.867256637168142,15,,,,,
10224_seq2,relaxed,1,1,,,,,,IGKV1D-16*01,IGKJ1*01,1,1,0
10232_seq1,relaxed,0.0717272727272727,0.545454545454545,,,,,,IGKV1-NL1*01,IGKJ2*01,0.0479090909090909,0.545454545454545,45
10232_seq2,relaxed,0.0218181818181818,0.472727272727273,IGHV1-3*01,IGHJ4*01,0.0643636363636364,0.472727272727273,58,,,,,
10236_seq1,relaxed,0.0737747747747748,0.54954954954955,IGHV1-3*01,IGHJ4*01,0.0877297297297297,0.54954954954955,50,,,,,
10236_seq2,relaxed,0.415181818181818,0.757575757575758,,,,,,IGKV1-33*01,IGKJ2*01,0.323757575757575,0.757575757575758,24
10237_seq1,relaxed,0.0737747747747748,0.54954954954955,IGHV1-3*01,IGHJ4*01,0.0877297297297297,0.54954954954955,50,,,,,
10237_seq2,relaxed,0.415181818181818,0.757575757575758,,,,,,IGKV1-33*01,IGKJ2*01,0.323757575757575,0.757575757575758,24
10238_seq1,relaxed,0.129222222222222,0.656565656565657,,,,,,IGKV1-NL1*01,IGKJ1*01,0.121878787878788,0.656565656565657,34
10238_seq2,relaxed,0.0933644859813084,0.616822429906542,IGHV4-4*08,IGHJ4*01,0.12596261682243,0.616822429906542,41,,,,,
10239_seq1,relaxed,0.129222222222222,0.656565656565657,,,,,,IGKV1-NL1*01,IGKJ1*01,0.121878787878788,0.656565656565657,34
10239_seq2,relaxed,0.0933644859813084,0.616822429906542,IGHV4-4*08,IGHJ4*01,0.12596261682243,0.616822429906542,41,,,,,
10242_seq1,relaxed,0.129222222222222,0.656565656565657,,,,,,IGKV1-16*01,IGKJ4*01,0.121878787878788,0.656565656565657,34
10242_seq2,relaxed,0.275220183486238,0.724770642201835,IGHV1-18*01,IGHJ3*01,0.37797247706422,0.724770642201835,30,,,,,
10244_seq1,relaxed,0.32990909090909,0.736363636363636,IGHV3-73*01,IGHJ4*01,0.407181818181818,0.736363636363636,29,,,,,
10244_seq2,relaxed,0.012,0.459183673469388,,,,,,IGKV1-39*01,IGKJ2*01,0.0225918367346939,0.459183673469388,53
10248_seq1,relaxed,0.990878787878788,0.98989898989899,,,,,,IGKV1-13*02,IGKJ4*01,0.795939393939394,0.98989898989899,1
10248_seq2,relaxed,0.802495412844037,0.926605504587156,IGHV3-30*01,IGHJ4*01,0.895834862385321,0.926605504587156,8,,,,,
10257_seq1,relaxed,0.90351376146789,0.954128440366972,IGHV3-48*03,IGHJ4*01,0.963559633027523,0.954128440366972,5,,,,,
10257_seq2,relaxed,0.99126213592233,0.990291262135922,,,,,,IGLV1-50*01,IGLJ2*01,0.801941747572816,0.990291262135922,1
10258_seq1,relaxed,0.90351376146789,0.954128440366972,IGHV3-48*03,IGHJ4*01,0.963559633027523,0.954128440366972,5,,,,,
10258_seq2,relaxed,0.99126213592233,0.990291262135922,,,,,,IGLV1-50*01,IGLJ2*01,0.801941747572816,0.990291262135922,1
10262_seq1,relaxed,0.0912121212121212,0.606060606060606,,,,,,IGKV1-12*01,IGKJ1*01,0.0774848484848485,0.606060606060606,39
10262_seq2,relaxed,0.236481481481481,0.712962962962963,IGHV4-30-4*01,IGHJ4*01,0.338851851851852,0.712962962962963,31,,,,,
10263_seq1,relaxed,0.0912121212121212,0.606060606060606,,,,,,IGKV1-12*01,IGKJ1*01,0.0774848484848485,0.606060606060606,39
10263_seq2,relaxed,0.236481481481481,0.712962962962963,IGHV4-30-4*01,IGHJ4*01,0.338851851851852,0.712962962962963,31,,,,,
10265_seq1,relaxed,0.397,0.754385964912281,IGHV3-23*01,IGHJ3*02,0.448947368421053,0.754385964912281,28,,,,,
10265_seq2,relaxed,1,1,,,,,,IGKV1-5*03,IGKJ1*01,1,1,0
10272_seq1,relaxed,0.638444444444444,0.858585858585859,,,,,,IGKV1-39*01,IGKJ1*01,0.591727272727273,0.858585858585859,14
10272_seq2,relaxed,0.244908256880734,0.715596330275229,IGHV1-46*01,IGHJ4*01,0.349385321100917,0.715596330275229,31,,,,,
10273_seq1,relaxed,0.1705,0.6875,IGHV3-66*01,IGHJ4*01,0.276,0.6875,35,,,,,
10273_seq2,relaxed,0.583909090909091,0.828282828282828,,,,,,IGKV1-39*01,IGKJ1*01,0.525161616161616,0.828282828282828,17
10277_seq1,relaxed,0.150486486486486,0.675675675675676,IGHV1-69*02,IGHJ4*01,0.239027027027027,0.675675675675676,36,,,,,
10277_seq2,relaxed,0.500969696969697,0.787878787878788,,,,,,IGKV1-39*01,IGKJ4*01,0.41230303030303,0.787878787878788,21
10286_seq1,relaxed,0.609740740740741,0.842592592592593,IGHV3-23*03,IGHJ4*01,0.679296296296296,0.842592592592593,17,,,,,
10286_seq2,relaxed,0.583909090909091,0.828282828282828,,,,,,IGKV1-39*01,IGKJ1*01,0.525161616161616,0.828282828282828,17
10291_seq1,relaxed,0.0717272727272727,0.545454545454545,,,,,,IGKV1-NL1*01,IGKJ2*01,0.0479090909090909,0.545454545454545,45
10291_seq2,relaxed,0.0218181818181818,0.472727272727273,IGHV1-3*01,IGHJ4*01,0.0643636363636364,0.472727272727273,58,,,,,
10296_seq1,relaxed,0.641770491803278,0.860655737704918,IGHV3-30*03,IGHJ6*01,0.731639344262295,0.860655737704918,17,,,,,
10296_seq2,relaxed,1,1,,,,,,IGLV1-51*01,IGLJ2*01,1,1,0
10299_seq1,relaxed,0.249949494949495,0.717171717171717,,,,,,IGKV3-11*01,IGKJ2*01,0.216040404040404,0.717171717171717,28
10299_seq2,relaxed,0.332684210526315,0.736842105263158,IGHV3-7*01,IGHJ4*01,0.408473684210526,0.736842105263158,30,,,,,
10301_seq1,relaxed,0.721752293577982,0.889908256880734,IGHV1-46*01,IGHJ3*01,0.791788990825688,0.889908256880734,12,,,,,
10301_seq2,relaxed,0.808,0.928571428571429,,,,,,IGKV1-13*02,IGKJ3*01,0.710714285714286,0.928571428571429,7
10303_seq1,relaxed,0.564304347826087,0.817391304347826,IGHV3-9*01,IGHJ6*01,0.606434782608696,0.817391304347826,21,,,,,
10303_seq2,relaxed,0.810020202020202,0.929292929292929,,,,,,IGKV3-15*01,IGKJ4*01,0.711363636363636,0.929292929292929,7
10308_seq1,relaxed,0.163769230769231,0.682692307692308,,,,,,IGKV1-27*01,IGKJ4*01,0.152923076923077,0.682692307692308,33
10308_seq2,relaxed,0.17304854368932,0.689320388349515,IGHV3-66*01,IGHJ4*01,0.281825242718447,0.689320388349515,32,,,,,
10315_seq1,relaxed,0.0804074074074074,0.564814814814815,IGHV1-3*01,IGHJ4*01,0.0919629629629629,0.564814814814815,47,,,,,
10315_seq2,relaxed,0.191155339805825,0.699029126213592,,,,,,IGKV1-5*01,IGKJ1*01,0.186155339805825,0.699029126213592,31
10316_seq1,relaxed,0.519067961165049,0.796116504854369,,,,,,IGKV1-39*01,IGKJ4*01,0.437514563106796,0.796116504854369,21
10316_seq2,relaxed,0.332684210526315,0.736842105263158,IGHV1-46*01,IGHJ4*01,0.408473684210526,0.736842105263158,30,,,,,
10319_seq1,relaxed,0.849864077669903,0.941747572815534,,,,,,IGLV6-57*01,IGLJ3*02,0.732019417475728,0.941747572815534,6
10319_seq2,relaxed,0.813304347826087,0.930434782608696,IGHV3-23*01,IGHJ5*02,0.905869565217391,0.930434782608696,8,,,,,
10334_seq1,relaxed,0.012,0.450450450450451,IGHV4-4*08,IGHJ4*01,0.0475405405405405,0.450450450450451,61,,,,,
10334_seq2,relaxed,0.0415252525252525,0.505050505050505,,,,,,IGKV6-21*02,IGKJ2*01,0.033030303030303,0.505050505050505,49
10335_seq1,relaxed,0.1705,0.6875,IGHV3-66*01,IGHJ4*01,0.276,0.6875,35,,,,,
10335_seq2,relaxed,0.583909090909091,0.828282828282828,,,,,,IGKV1-39*01,IGKJ1*01,0.525161616161616,0.828282828282828,17
10336_seq1,relaxed,0.116807692307692,0.644230769230769,,,,,,IGKV2-28*01,IGKJ1*01,0.107653846153846,0.644230769230769,37
10336_seq2,relaxed,0.594779816513761,0.834862385321101,IGHV3-72*01,IGHJ4*01,0.653532110091743,0.834862385321101,18,,,,,
10342_seq1,relaxed,0.151037037037037,0.675925925925926,IGHV4-30-4*01,IGHJ4*01,0.239777777777778,0.675925925925926,35,,,,,
10342_seq2,relaxed,0.0912121212121212,0.606060606060606,,,,,,IGKV1-12*01,IGKJ1*01,0.0774848484848485,0.606060606060606,39
10344_seq1,relaxed,0.908428571428572,0.955357142857143,IGHV1-18*01,IGHJ2*01,0.967,0.955357142857143,5,,,,,
10344_seq2,relaxed,0.607118811881188,0.841584158415841,,,,,,IGLV2-11*01,IGLJ1*01,0.56380198019802,0.841584158415841,16
10364_seq1,relaxed,0.362789473684211,0.745614035087719,IGHV1-69*02,IGHJ4*01,0.432719298245614,0.745614035087719,29,,,,,
10364_seq2,relaxed,0.415181818181818,0.757575757575758,,,,,,IGKV1-39*01,IGKJ2*01,0.323757575757575,0.757575757575758,24
10365_seq1,relaxed,0.597181818181818,0.836363636363636,IGHV1-2*02,IGHJ4*01,0.658636363636363,0.836363636363636,18,,,,,
10365_seq2,relaxed,0.498174757281553,0.786407766990291,,,,,,IGKV4-1*01,IGKJ4*01,0.406271844660194,0.786407766990291,22
10366_seq1,relaxed,0.597181818181818,0.836363636363636,IGHV1-2*02,IGHJ4*01,0.658636363636363,0.836363636363636,18,,,,,
10366_seq2,relaxed,0.498174757281553,0.786407766990291,,,,,,IGKV4-1*01,IGKJ4*01,0.406271844660194,0.786407766990291,22
10382_seq1,relaxed,0.701352941176471,0.882352941176471,,,,,,IGLV1-47*01,IGLJ3*02,0.644176470588235,0.882352941176471,12
10382_seq2,relaxed,0.811508771929825,0.929824561403509,IGHV3-23*01,IGHJ5*02,0.904526315789474,0.929824561403509,8,,,,,
10383_seq1,relaxed,0.701352941176471,0.882352941176471,,,,,,IGLV1-47*01,IGLJ3*02,0.644176470588235,0.882352941176471,12
10383_seq2,relaxed,0.811508771929825,0.929824561403509,IGHV3-23*01,IGHJ5*02,0.904526315789474,0.929824561403509,8,,,,,
10385_seq1,relaxed,0.862,0.944444444444444,IGHV5-10-1*04,IGHJ4*01,0.937,0.944444444444444,6,,,,,
10385_seq2,relaxed,0.528,0.8,,,,,,IGLV3-1*01,IGLJ2*01,0.448,0.8,20
10387_seq1,relaxed,0.927,0.96,,,,,,IGKV3-20*01,IGKJ1*01,0.764,0.96,4
10387_seq2,relaxed,0.0411367521367521,0.504273504273504,IGHV3-23*04,IGHJ5*01,0.0747094017094017,0.504273504273504,58,,,,,
10399_seq1,relaxed,0.169739130434783,0.68695652173913,IGHV1-2*02,IGHJ4*01,0.274260869565217,0.68695652173913,36,,,,,
10399_seq2,relaxed,0.181367346938775,0.693877551020408,,,,,,IGKV6-21*01,IGKJ1*01,0.176367346938776,0.693877551020408,30
10400_seq1,relaxed,0.523353535353536,0.797979797979798,,,,,,IGKV1-39*01,IGKJ1*01,0.442545454545455,0.797979797979798,20
10400_seq2,relaxed,0.643,0.861111111111111,IGHV3-7*01,IGHJ4*01,0.732777777777778,0.861111111111111,15,,,,,
10409_seq1,relaxed,0.151037037037037,0.675925925925926,IGHV4-30-4*01,IGHJ4*01,0.239777777777778,0.675925925925926,35,,,,,
10409_seq2,relaxed,0.0912121212121212,0.606060606060606,,,,,,IGKV1-12*01,IGKJ1*01,0.0774848484848485,0.606060606060606,39
10415_seq1,relaxed,0.191155339805825,0.699029126213592,,,,,,IGKV1-39*01,IGKJ2*01,0.186155339805825,0.699029126213592,31
10415_seq2,relaxed,0.315880733944954,0.73394495412844,IGHV1-46*01,IGHJ4*01,0.400651376146789,0.73394495412844,29,,,,,
10418_seq1,relaxed,0.415181818181818,0.757575757575758,,,,,,IGKV1-13*02,IGKJ4*01,0.323757575757575,0.757575757575758,24
10418_seq2,relaxed,0.134858407079646,0.663716814159292,IGHV7-4-1*02,IGHJ2*01,0.201893805309734,0.663716814159292,38,,,,,
10420_seq1,relaxed,0.191318584070796,0.699115044247788,IGHV4-34*09,IGHJ4*01,0.304053097345133,0.699115044247788,34,,,,,
